cell_clean,cell.x,integration_cluster,cell.y,cell_type,sample_type
X121339916277485.N,X121339916277485_X_.N,0,X121339916277485.N,Effector/Memory CD4+ T cells,N
X121742656976621.T,X121742656976621_Y_.T,1,X121742656976621.T,CD8+ T cell,T
X121742656976742.N,X121742656976742_X_.N,3,X121742656976742.N,Pro-angiogenesis Macrophage,N
X121742657182115.T,X121742657182115_Y_.T,2,X121742657182115.T,Phagocytosis Macrophage,T
X121742657247580.T,X121742657247580_Y_.T,3,X121742657247580.T,Phagocytosis Macrophage,T
X121742657476395.N,X121742657476395_X_.N,3,X121742657476395.N,Pro-angiogenesis Macrophage,N
X121742671366070.T,X121742671366070_Y_.T,5,X121742671366070.T,B Cell,T
X121742671375276.T,X121742671375276_Y_.T,11,X121742671375276.T,cDC2,T
X121742671402934.N,X121742671402934_X_.N,0,X121742671402934.N,Effector/Memory CD4+ T cells,N
X121742671404340.N,X121742671404340_X_.N,3,X121742671404340.N,Pro-angiogenesis Macrophage,N
X121742671595380.N,X121742671595380_X_.N,1,X121742671595380.N,Effector/Memory CD4+ T cells,N
X121742671895899.T,X121742671895899_Y_.T,1,X121742671895899.T,CD8+ T cell,T
X121742672161131.N,X121742672161131_X_.N,4,X121742672161131.N,Macrophage,N
X121742684539740.T,X121742684539740_Y_.T,1,X121742684539740.T,CD8+ T cell,T
X121742702794612.T,X121742702794612_Y_.T,1,X121742702794612.T,CD8+ T cell,T
X121742702799668.N,X121742702799668_X_.N,3,X121742702799668.N,Pro-angiogenesis Macrophage,N
X121742702893878.T,X121742702893878_Y_.T,7,X121742702893878.T,Macrophage,T
X121742703316275.N,X121742703316275_X_.N,7,X121742703316275.N,Macrophage,N
X121742703353252.T,X121742703353252_Y_.T,1,X121742703353252.T,Effector/Memory CD8+ T cells,T
X121742703585118.N,X121742703585118_X_.N,5,X121742703585118.N,Pro-angiogenesis Macrophage,N
X121742703614363.N,X121742703614363_X_.N,3,X121742703614363.N,Pro-angiogenesis Macrophage,N
X121742703650526.T,X121742703650526_Y_.T,1,X121742703650526.T,Exhausted CD8+ T cells,T
X121812450129773.T,X121812450129773_Y_.T,0,X121812450129773.T,CD4 or CD8 T cell,T
X121812450761501.T,X121812450761501_Y_.T,0,X121812450761501.T,CD4 or CD8 T cell,T
X121812464561059.T,X121812464561059_Y_.T,1,X121812464561059.T,Effector/Memory CD8+ T cells,T
X121812464818533.T,X121812464818533_Y_.T,0,X121812464818533.T,CD4+ T cell,T
X121812464876332.T,X121812464876332_Y_.T,1,X121812464876332.T,Effector/Memory CD8+ T cells,T
X121812465141661.T,X121812465141661_Y_.T,5,X121812465141661.T,B Cell,T
X121812465183523.T,X121812465183523_Y_.T,5,X121812465183523.T,B Cell,T
X121812477135222.T,X121812477135222_Y_.T,0,X121812477135222.T,CD4+ T cell,T
X121812477242099.T,X121812477242099_Y_.T,9,X121812477242099.T,CD4 or CD8 T cell,T
X121812477405044.N,X121812477405044_X_.N,3,X121812477405044.N,Pro-angiogenesis Macrophage,N
X121812477431198.N,X121812477431198_X_.N,0,X121812477431198.N,Effector/Memory CD4+ T cells,N
X121812477926188.T,X121812477926188_Y_.T,0,X121812477926188.T,CD4 or CD8 T cell,T
X121812478019996.T,X121812478019996_Y_.T,1,X121812478019996.T,Exhausted CD8+ T cells,T
X121812496345899.T,X121812496345899_Y_.T,4,X121812496345899.T,Blood Cell,T
X121812496629164.N,X121812496629164_X_.N,6,X121812496629164.N,Natural killer cell,N
X121812496832734.N,X121812496832734_X_.N,4,X121812496832734.N,Phagocytosis Macrophage,N
X121826140342709.N,X121826140342709_X_.N,2,X121826140342709.N,Pro-angiogenesis Macrophage,N
X121826140904307.T,X121826140904307_Y_.T,1,X121826140904307.T,Exhausted CD8+ T cells,T
X121826140940590.N,X121826140940590_X_.N,0,X121826140940590.N,Effector/Memory CD4+ T cells,N
X121826154798443.T,X121826154798443_Y_.T,5,X121826154798443.T,B Cell,T
X121826154858862.T,X121826154858862_Y_.T,6,X121826154858862.T,Natural killer cell,T
X121826155116899.N,X121826155116899_X_.N,4,X121826155116899.N,Macrophage,N
X121826155313891.T,X121826155313891_Y_.T,0,X121826155313891.T,Effector/Memory CD8+ T cells,T
X121826155583733.N,X121826155583733_X_.N,7,X121826155583733.N,Pro-inflammatory Macrophage,N
X121826167613790.N,X121826167613790_X_.N,2,X121826167613790.N,Pro-angiogenesis Macrophage,N
X121826167896358.T,X121826167896358_Y_.T,1,X121826167896358.T,Effector/Memory CD8+ T cells,T
X121826186225382.N,X121826186225382_X_.N,1,X121826186225382.N,Effector/Memory CD8+ T cells,N
X121826186251677.N,X121826186251677_X_.N,3,X121826186251677.N,Pro-angiogenesis Macrophage,N
X121826186255132.T,X121826186255132_Y_.T,5,X121826186255132.T,B Cell,T
X121826186483493.T,X121826186483493_Y_.T,1,X121826186483493.T,Exhausted CD8+ T cells,T
X121826186771316.T,X121826186771316_Y_.T,4,X121826186771316.T,Macrophage,T
X121879156379046.T,X121879156379046_Y_.T,4,X121879156379046.T,Macrophage,T
X121879156386205.T,X121879156386205_Y_.T,5,X121879156386205.T,B Cell,T
X121879156386219.N,X121879156386219_X_.N,4,X121879156386219.N,Macrophage,N
X121879156701557.N,X121879156701557_X_.N,0,X121879156701557.N,Effector/Memory CD4+ T cells,N
X121879156968669.N,X121879156968669_X_.N,3,X121879156968669.N,Pro-angiogenesis Macrophage,N
X121879170865501.N,X121879170865501_X_.N,3,X121879170865501.N,Pro-angiogenesis Macrophage,N
X121879171100068.T,X121879171100068_Y_.T,0,X121879171100068.T,CD8+ T cell,T
X121879171124012.N,X121879171124012_X_.N,4,X121879171124012.N,Pro-angiogenesis Macrophage,N
X121879171549492.N,X121879171549492_X_.N,2,X121879171549492.N,Pro-angiogenesis Macrophage,N
X121879171614510.T,X121879171614510_Y_.T,0,X121879171614510.T,T regulatory cells,T
X121879171614646.N,X121879171614646_X_.N,0,X121879171614646.N,Effector/Memory CD4+ T cells,N
X121879183608549.T,X121879183608549_Y_.T,0,X121879183608549.T,CD8+ T cell,T
X121879183645036.T,X121879183645036_Y_.T,0,X121879183645036.T,Tfh/Th1 helper CD4+ T cells,T
X121879183969500.N,X121879183969500_X_.N,2,X121879183969500.N,Pro-angiogenesis Macrophage,N
X121879184133038.T,X121879184133038_Y_.T,8,X121879184133038.T,Cancer Associated Fibroblasts,T
X121879184164662.T,X121879184164662_Y_.T,1,X121879184164662.T,CD4 or CD8 T cell,T
X121879184172910.T,X121879184172910_Y_.T,8,X121879184172910.T,Non Blood Cell,T
X121879184193372.T,X121879184193372_Y_.T,0,X121879184193372.T,Blood Cell,T
X121879202225014.T,X121879202225014_Y_.T,4,X121879202225014.T,Phagocytosis Macrophage,T
X121879202293995.T,X121879202293995_Y_.T,1,X121879202293995.T,Exhausted CD8+ T cells,T
X121879202752924.T,X121879202752924_Y_.T,10,X121879202752924.T,CAFinfla,T
X121879203044059.T,X121879203044059_Y_.T,1,X121879203044059.T,CD8+ T cell,T
X121896067517366.T,X121896067517366_Y_.T,8,X121896067517366.T,Macrophage,T
X121896068339485.T,X121896068339485_Y_.T,2,X121896068339485.T,Macrophage,T
X121896082458421.T,X121896082458421_Y_.T,1,X121896082458421.T,Exhausted CD8+ T cells,T
X121896082781939.N,X121896082781939_X_.N,4,X121896082781939.N,Pro-angiogenesis Macrophage,N
X121896082983332.N,X121896082983332_X_.N,8,X121896082983332.N,Any Cell,N
X121896094846299.T,X121896094846299_Y_.T,5,X121896094846299.T,B Cell,T
X121896094881635.T,X121896094881635_Y_.T,5,X121896094881635.T,B Cell,T
X121896094882726.N,X121896094882726_X_.N,3,X121896094882726.N,Pro-angiogenesis Macrophage,N
X121896095333101.N,X121896095333101_X_.N,0,X121896095333101.N,Effector/Memory CD4+ T cells,N
X121896095570732.N,X121896095570732_X_.N,0,X121896095570732.N,Effector/Memory CD4+ T cells,N
X121896095636766.N,X121896095636766_X_.N,0,X121896095636766.N,Effector/Memory CD4+ T cells,N
X121896113727723.N,X121896113727723_X_.N,2,X121896113727723.N,Pro-angiogenesis Macrophage,N
X121896113920796.N,X121896113920796_X_.N,6,X121896113920796.N,Natural killer cell,N
X121896113989467.T,X121896113989467_Y_.T,0,X121896113989467.T,Effector/Memory CD8+ T cells,T
